First ------>,A (UBL),B (UBR),D (UFL),E (LUB),F (LUF),G (LDF),H (LDB),I (FUL),K (FDR),L (FDL),N (RUB),O (RDB),P (RDF),Q (BUR),R (BUL),S (BDL),T (BDR),U (DFL),V (DFR),W (DBR),Y (DBL)
A (UBL),,"[Lw' D': [U', R D R']]","[R' D' U' : [R' D R , U']]",,"[F : [R' D' R , U2]]","[U2, R' D R]","[U : [R D' R', U2]]","[l' : [R' D2 R , U2]]","[D': [U2, R' D R]]","[D : [U2 , R' D' R]]","[U R U' D': [R' D' R, U2]]","[U: [R D R', U2]]","[U2, R' D' R]","[R' D' : [R' D R , U2]]",,"[D: [U2, R' D R]]","[D': [U2, R' D' R]]","[D2 R D' R' : [U2, R D R']]","[D R D' R' : [U2 , R' D R]]","[R D' R' : [U2 , R' D R]]","[D' R D' R' : [U2 , R' D R]]"
B (UBR),"[Lw' D': [R D R', U']]",,"[Lw D: [U, R' D' R]]","[R: [R D R' , U]]","[R' : [U' , R' D' R]]","[U, R' D R]","[R D' R', U']","[R : [R D R', U2]]","[D' : [U , R' D R]]","[D: [U, R' D' R]]",,"[R D R', U']","[U, R' D' R]",,"[R':[U2,R' D' R]]","[U, R' D2 R]","[D' : [U, R' D' R]]","[Lw D : [U , R' D R]]","[D' L : [U , R' D2 R]]","[U R D' R': [R' D R, U']]","[x': [U2, R' D' R]]"
D (UFL),"[R' D' U' : [U' , R' D R]]","[Lw D: [R' D' R, U]]",,"[U' R: [U2, R D R']]",,"[U', R' D R]","[D2 : [U' , R' D' R]]",,"[D' : [U' , R' D R]]","[D : [U' , R' D' R]]","[U' R': [R' D' R, U2]]","[U': [U', R D R']]","[U', R' D' R]","[R' D' : [R' D R , U']]","[U' R': [R' D' R, U']]","[U', R' D2 R]","[D': [U', R' D' R]]","[D2 R D' R': [U' , R' D R]]","[U' D' L : [R' D2 R , U]]","[R D' R' : [U' , R' D R]]","[D' R D' R' : [U', R' D R]]"
E (LUB),,"[R: [U , R D R']]","[U' R: [R D R', U2]]",,"[z: [R' D' R, U]]","[U R' : [R' D R , U']]","[R D' : [U , R D R']]","[Lw' U : [U2 , R D' R']]","[U D' R' : [R' D R , U']]","[R U : [U , R' D R]]","[L2 B: [R' D R , U2]]","[R D: [U , R D R']]","[B' U : [R' D' R , U']]","[U R': [R' D' R, U']]",,"[U D R' : [R' D R , U']]","[R U:[U,R' D' R]]","[U2 D : [D2 , R U' R']]","[D' R : [R D2 R' , U]]","[D R : [U , R D' R']]","[R: [U, R D' R']]"
F (LUF),"[F : [U2 , R' D' R]]","[R' : [R' D' R , U']]",,"[z: [U, R' D' R]]",,"[R' U': [R U R', D]]","[R' U' R: [R D' R', U']]",,"[z: [R U R', D]]","[D R' U' : [R U R' , D']]","[F' U' : [R' D R ,U2]]","[R' U: [R' D' R, U2]]","[R' U' : [R U R' , D']]","[z: [R U R', D']]","[R' U': [U', R' D' R]]","[x': [D, R U2 R']]","[F: [R U R', D']]","[U' R' U: [D, R U' R']]","[R U' R': [U2, R' D' R]]","[R U' R': [R' U R, D]]","[R2 D' : [R U' R' , D']]"
G (LDF),"[R' D R, U2]","[R' D R, U]","[R' D R, U']","[U R' : [U' , R' D R]]","[R' U': [D, R U R']]",,"[z': [R U' R', D']]","[R D' : [R D R' , U2]]","[U : [R U' R' , D]]",,"[U R U':[R' D R, U2]]","[U': [R' U' R, D2]]","[L : [R U R' , D2]]","[R' U : [D , R U' R']]","[R' D: [D, R' U R]]","[U D: [R U' R', D]]","[U R' U': [R' D R, U2]]",,"[U R2 U : [U2 , R' D R]]","[R U' R': [R' U R, D]]","[F': [D2, R U' R']]"
H (LDB),"[U': [R D' R', U2]]","[U', R D' R']","[D2 : [R' D' R , U' ]]","[R D' : [R D R' , U]]","[R' U' R: [U', R D' R']]","[z': [R U' R', D']]",,"[Lw' : [R' D R , U2]]","[l' U : [R U' R' , D']]","[D: [R U R', D]]","[U R : [U2 , R D' R']]","[R U2 : [R U' R' , D2]]","[R U R', D2]","[R, U' L U]","[U2 R: [U, R D' R']]",,"[D' : [D' , R U R']]","[D R U' R': [U2, R' D R]]","[U R2 : [U2 , R D' R']]","[B' D2 : [U2 , R' D' R]]",
I (FUL),"[Lw' D : [U2 , R' D2 R]]","[R : [U2 , R D R']]",,"[Lw' U: [R D' R', U2]]",,"[R D' : [U2 , R D R']]","[Lw': [U2, R' D R]]",,"[D R U' D' : [R' D R , U2]]","[R U:[U2, R' D R]]","[B2 L' : [U2 , R' D R]]","[R U D': [R' D R, U2]]","[Lw': [U2, R' D' R]]","[R D: [U2, R D' R']]","[R U R' D': [R' D R, U2]]","[D' R U D': [U2, R' D R]]","[R U': [R' D' R, U2]]","[R D : [L D' L' , U2]]","[D' L2 : [R' D2 R , U2]]","[D R: [U2, R D' R']]","[R:[U2,R D' R']]"
K (FDR),"[D': [R' D R, U2]]","[D': [R' D R, U]]","[D' : [R' D R , U']]","[U D' R' : [U' , R' D R]]","[z: [D, R U R']]","[U : [D , R U' R']]","[l' U : [D , R U' R']]","[L' D' : [R' D R , U2]]",,"[U R D:[R' D' R,U']]","[U L' : [U2 , R' D' R]]","[U : [D' , R U' R']]",,"[D' R' U : [D , R U' R']]","[L D' : [R' D R , U']]","[U : [D2 , R U' R']]","[R U R' U': [R U R', D']]","[L2 D' : [R' D R , U2]]",,"[U R D': [R' D R, U']]","[U' D R': [U, R' D R]]"
L (FDL),"[D : [R' D' R , U2]]","[D: [R' D' R, U]]","[D : [R' D' R , U' ]]","[R U: [R' D R, U]]","[D R' U' : [D' , R U R']]",,"[D: [D, R U R']]","[R U:[R' D R, U2]]","[U L' U' , R]",,"[F' : [L D' L' , U2]]","[R U2 : [R U R' , D]]","[R U R', D]","[U R' U': [R U R', D]]","[D L : [R' D' R , U']]","[D' R D: [R' U' R, D2]]","[D': [R U R', D2]]",,"[R U' R': [U2, R' D R]]","[D R: [U', R D' R']]","[D R D: [R' D' R, U]]"
