First ------> ,A (UBL),B (UBR),D (UFL),E (LUB),F (LUF),G (LDF),H (LDB),I (FUL),K (FDR),L (FDL),N (RUB),O (RDB),P (RDF),Q (BUR),R (BUL),S (BDL),T (BDR),U (DFL),V (DFR),W (DBR),Y (DBL)
A (UBL),,"[Lw' D': [U', R D R']]","[R' D' U' : [R' D R , U']]",,"[F : [R' D' R , U2]]","[U2, R' D R]","[U : [R D' R', U2]]","[Lw' D : [R' D R, U2]]","[D': [U2, R' D R]]","[D : [U2 , R' D' R]]","[U R U' D': [R' D' R, U2]]","[U: [R D R', U2]]","[U2, R' D' R]","[R' D' : [R' D R , U2]]",,"[D: [U2, R' D R]]","[D': [U2, R' D' R]]","[D2 R D' R' : [U2, R D R']]","[D R D' R' : [U2 , R' D R]]","[R D' R' : [U2 , R' D R]]","[D' R D' R' : [U2 , R' D R]]"
B (UBR),"[Lw' D': [R D R', U']]",,"[Lw D: [U, R' D' R]]","[R: [R D R' , U]]","[R' : [U' , R' D' R]]","[U, R' D R]","[R D' R', U']","[R : [R D R', U2]]","[D' : [U , R' D R]]","[D: [U, R' D' R]]",,"[R D R', U']","[U, R' D' R]",,"[R':[U2,R' D' R]]","[D: [U, R' D R]]","[D' : [U, R' D' R]]","[Lw D : [U , R' D R]]","[D' L : [U , R' D2 R]]","[U R D' R': [R' D R, U']]","[x': [U2, R' D' R]]"
D (UFL),"[R' D' U' : [U' , R' D R]]","[Lw D: [R' D' R, U]]",,"[U' R: [U2, R D R']]",,"[U', R' D R]","[D2 : [U' , R' D' R]]",,"[D' : [U' , R' D R]]","[D : [U' , R' D' R]]","[U' R': [R' D' R, U2]]","[U': [U', R D R']]","[U', R' D' R]","[R' D' : [R' D R , U']]","[U' R': [R' D' R, U']]","[D: [U', R' D R]]","[D': [U', R' D' R]]","[D2 R D' R': [U' , R' D R]]","[D R D' R': [U', R' D R]]","[R D' R' : [U' , R' D R]]","[D' R D' R' : [U', R' D R]]"
E (LUB),,"[R: [U , R D R']]","[U' R: [R D R', U2]]",,"[U' R' U, L]","[U R' : [R' D R , U']]","[R D' : [U , R D R']]","[Lw' U : [U2 , R D' R']]","[U D' R' : [R' D R , U']]","[R U : [U , R' D R]]","[L2 B: [R' D R , U2]]","[R D: [U, R D R']]","[U R' U': [R D R', U']]","[U R': [R' D' R, U']]",,"[U D R' : [R' D R , U']]","[R U:[U,R' D' R]]","[D' R: [U, R D' R']]","[D2 R: [U, R D' R']]","[D R : [U , R D' R']]","[R: [U, R D' R']]"
F (LUF),"[F : [U2 , R' D' R]]","[R' : [R' D' R , U']]",,"[L, U' R' U]",,"[R' U': [R U R', D]]","[R' U' R: [R D' R', U']]",,"[U L U', R]","[D R' U' : [R U R' , D']]","[F' U' : [R' D R ,U2]]","[R' U: [R' D' R, U2]]","[R' U' : [R U R' , D']]","[U L U', R']","[R' U': [U', R' D' R]]","[D R' U': [R U R', D]]","[F: [R U R', D']]","[U' R' U: [D, R U' R']]","[R U' R': [U2, R' D' R]]","[R U' R': [R' U R, D]]","[R2 D' : [R U' R' , D']]"
G (LDF),"[R' D R, U2]","[R' D R, U]","[R' D R, U']","[U R' : [U' , R' D R]]","[R' U': [D, R U R']]",,"[R' D R: [R U R', D]]","[R D' : [R D R' , U2]]","[U : [R U' R' , D]]",,"[U R U':[R' D R, U2]]","[U': [R' U' R, D2]]","[U' R U' R': [U, R' D R]]","[R' U : [D , R U' R']]","[R' D: [D, R' U R]]","[U D: [R U' R', D]]","[U R' U': [R' D R, U2]]",,"[U D R D': [R' D R, U']]","[U R : [R U' R', D]]","[U D' R: [R U' R', D2]]"
H (LDB),"[U': [R D' R', U2]]","[U', R D' R']","[D2 : [R' D' R , U' ]]","[R D' : [R D R' , U]]","[R' U' R: [U', R D' R']]","[R' D R: [R U R', D]]",,"[R U' D: [U2, R' D R]]","[U R U': [U', R D' R']]","[D: [R U R', D]]","[U R : [U2 , R D' R']]","[R D: [R' U' R, D2]]","[R U R', D2]","[R, U' L U]","[U2 R: [U, R D' R']]",,"[D' : [D' , R U R']]","[D R U' R': [U2, R' D R]]","[D2 R: [U', R D' R']]","[R D' R': [U, R' D R]]",
I (FUL),"[Lw' D : [U2 , R' D R]]","[R : [U2 , R D R']]",,"[Lw' U: [R D' R', U2]]",,"[R D' : [U2 , R D R']]","[R U' D: [R' D R, U2]]",,"[D R U' D' : [R' D R , U2]]","[R U':[R' D R,U2]]","[R': [R2 D' R2 D R2, U']]","[R U D': [U2, R' D R]]","[D R U': [R' D' R, U2]]","[R D: [U2, R D' R']]","[R U R' D': [R' D R, U2]]","[D' R U D': [U2, R' D R]]","[R U: [U2, R' D' R]]","[R U' D: [R' D' R, U2]]","[D' R U' D: [R' D' R, U2]]","[D R: [U2, R D' R']]","[R : [U2, R D' R']]"
K (FDR),"[D': [R' D R, U2]]","[D': [R' D R, U]]","[D' : [R' D R , U']]","[U D' R' : [U' , R' D R]]","[R, U L U']","[U : [D , R U' R']]","[U R U': [R D' R', U']]","[D R U D': [R' D R, U2]]",,"[U R D:[R' D' R,U']]","[U' R' U: [U2, R D R']]","[U : [D' , R U' R']]",,"[D' R' U : [D , R U' R']]","[D R' U: [U, R' D' R]]","[U : [D2 , R U' R']]","[R U R' U': [R U R', D']]","[L2 D' : [R' D R , U2]]",,"[U R D': [R' D R, U']]","[U' D R': [U, R' D R]]"
L (FDL),"[D : [R' D' R , U2]]","[D: [R' D' R, U]]","[D : [R' D' R , U' ]]","[R U: [R' D R, U]]","[D R' U' : [D' , R U R']]",,"[D: [D, R U R']]","[R U : [U2,R' D R] ]","[U L' U' , R]",,"[U D' R: [U2, R D' R']]","[R D: [R' U' R, D]]","[R U R', D]","[U R' U': [R U R', D]]","[D R': [R' U R, D]]","[D' R D: [R' U' R, D2]]","[D: [R U R', D2]]",,"[R U' R': [U2, R' D R]]","[D R: [U', R D' R']]","[D R D: [R' D' R, U]]"
